Model,Test Accuracy (%)
Random Forest,96.22709958280427
KNN,95.9731543624161
Logistic Regression,95.86432069653547
SVM,95.41084708869944
Decision Tree,94.75784509341555
Naive Bayes,94.75784509341555
CNN Model (Test),0.9562851442046073
